time,open,high,low,close
1595584800,6145.9,6165,6119.5,6130.2
1595599200,6130.2,6145,6100.6,6116.9
1595613600,6117.2,6128.7,6098.1,6100.5
1595800800,6119.1,6141.6,6081.5,6131.2
1595815200,6131.3,6143.3,6120.5,6132.8
1595829600,6132.7,6138.2,6084.1,6115.5
1595844000,6115.4,6118.8,6097,6107.6
1595858400,6108.1,6126.3,6099.8,6115.8
1595872800,6115.8,6136.3,6110.9,6134.2
1595887200,6136.4,6162.9,6127.6,6147.4
1595901600,6147.3,6152.2,6116.8,6122.4
1595916000,6122.9,6152.1,6104.9,6108.9
1595930400,6109,6122.9,6081.8,6093.6
1595944800,6093.6,6137.5,6093,6129.5
1595959200,6129.5,6130,6098,6109.7
1595973600,6116.5,6129,6104,6114.3
1595988000,6114.4,6119.6,6101.6,6114
1596002400,6114.2,6154.7,6113,6145
1596016800,6145.1,6153.6,6124,6131.2
1596031200,6131.2,6137.5,6123.1,6130.9
1596045600,6131,6160,6128.7,6153.7
1596060000,6155.1,6155.6,6138.6,6142.9
1596074400,6142.8,6155.7,6139,6146.9
1596088800,6146.9,6161.5,6017.6,6035.7
1596103200,6035.8,6038.7,5949.6,5950
1596117600,5950.1,6027.5,5920.9,6011.5
1596132000,6011.8,6058.9,6008.4,6046.4
1596146400,6050.6,6055.9,6000,6029.2
1596160800,6029.1,6029.6,5972.5,5976.8
1596175200,5976.6,6050,5976,5981
1596189600,5981,5995.6,5953.9,5964
1596204000,5963.8,5964.8,5852.5,5865.1
1596218400,5865.4,5917,5854.4,5913
1596405600,5910.8,5927.5,5884.6,5924.4
1596420000,5924.3,5925.9,5908.2,5913.9
1596434400,5913.8,5920.2,5855.8,5906.3
1596448800,5906.2,5998.4,5900.6,5995.1
1596463200,5995.1,6040.4,5994.8,6018.8
1596477600,6018.9,6019.8,5996.3,6015.6
1596492000,6011.5,6040.4,6009.8,6023.4
1596506400,6023.4,6042.3,6014,6040.7
1596520800,6041.4,6054,5983.1,6030.2
1596535200,6030,6061.8,6013.3,6031.6
1596549600,6031.5,6045.3,6023.5,6039.2
1596564000,6039.5,6042.7,6021.6,6040.3
1596578400,6040.9,6043,6021.9,6024.9
1596592800,6025,6052.4,6024.4,6045
1596607200,6045,6112,6042.5,6106
1596621600,6106,6111.8,6082.9,6094.1
1596636000,6094.1,6106.8,6076.4,6084
1596650400,6084.1,6085.8,6063.3,6072.4
1596664800,6063.3,6094.3,6058.5,6076.6
1596679200,6076.6,6076.6,6049.7,6061.8
1596693600,6061.8,6073.3,6006.6,6028.3
1596708000,6028.4,6032.3,5977.2,6031.6
1596722400,6031.6,6042.9,6012.8,6032.1
1596736800,6032,6061.3,6031.6,6056.1
1596751200,6049.7,6051.5,6026.7,6034.5
1596765600,6034.5,6036.4,5999.2,6019.7
1596780000,6019.7,6045.7,5992.5,6012.7
1596794400,6012.5,6043.6,6006.2,6028
1596808800,6028,6038.4,6016.2,6020
1596823200,6019.9,6054.9,6011.8,6044.5
1597010400,6035.5,6055.8,6030,6049.2
1597024800,6049.4,6072.4,6047,6070.9
1597039200,6071.2,6100.2,6024,6045.3
1597053600,6045.5,6071.2,6040.6,6062
1597068000,6061.8,6069.6,6040.6,6065.7
1597082400,6065.8,6077.8,6062.8,6069.7
1597096800,6067,6097.5,6060.2,6089.8
1597111200,6089.7,6102.3,6085.9,6092.2
1597125600,6092.7,6197,6084.3,6187.5
1597140000,6187.4,6204.1,6138.6,6140.3
1597154400,6140.5,6180.8,6120.4,6180.7
1597168800,6180.8,6180.9,6110.4,6137.6
1597183200,6140.6,6165,6126.9,6142.7
1597197600,6142.4,6146.5,6123.8,6137.9
1597212000,6138,6207.4,6138,6199.8
1597226400,6199.8,6251.5,6195.6,6249.9
1597240800,6249.7,6294.9,6246.1,6274.4
1597255200,6274.3,6277.3,6249.1,6261.3
1597269600,6239.5,6244.9,6220,6225.1
1597284000,6225.3,6234.1,6215.6,6217.5
1597298400,6217.4,6228.3,6195.6,6216.3
1597312800,6216.3,6224.6,6185.2,6194.4
1597327200,6194.3,6197.3,6174.5,6183.1
1597341600,6183.2,6184.7,6156.7,6177
1597356000,6180.1,6193.6,6172.1,6185.2
1597370400,6185.1,6195.9,6176.8,6191.1
1597384800,6191.1,6198.6,6028.9,6052.9
1597399200,6052.9,6099.7,6037.3,6082
1597413600,6082,6093.6,6071.6,6078.1
1597428000,6078,6079.4,6055.6,6071.2
1597615200,6077,6085.9,6062.9,6069.3
1597629600,6069.5,6091,6069.4,6086
1597644000,6086,6114.6,6052.8,6093.1
1597658400,6092.9,6132.9,6090.6,6124.5
1597672800,6124.2,6137,6115.2,6116.3
1597687200,6116,6118.9,6105.3,6111.3
1597701600,6112.4,6130.1,6102.3,6110
1597716000,6109.9,6115.7,6094.8,6112.1
1597730400,6111.6,6142.1,6054.1,6134.2
1597744800,6134.3,6158.5,6092,6095.3
1597759200,6095.2,6096.7,6058.2,6072.8
1597773600,6072.5,6076.8,6057.4,6064.6
1597788000,6066.1,6086.8,6058.7,6072.1
1597802400,6072.3,6089.3,6071.8,6085.9
1597816800,6085.9,6089.4,6038.1,6083.8
